" Armory",,,,,,,,,,
"Name",#,Type,Tier,Durability,Weight,Value,Limited Stock,Rural Locale,Urban Locale,Premium Locale
"Blowguns Needles Plain",20,Plain Needles,Mundane,-,0.05,50 cc,FALSE,TRUE,FALSE,FALSE
"- [Misc] -",,,,,,,,,,
"Backpack (1 ft^3)",1,30 lb container,Mundane,,5,2 bc,TRUE,TRUE,TRUE,TRUE
"Bedroll",1,Misc,Mundane,,7,1 bc,TRUE,TRUE,TRUE,TRUE
"Blanket",1,Misc,Mundane,,3,50 cc,TRUE,TRUE,TRUE,TRUE
"Block and Tackle",1,Misc,Mundane,,5,70 cc,FALSE,FALSE,TRUE,TRUE
"Bottle, glass",1,Misc,Mundane,,2,2 bc,FALSE,TRUE,TRUE,TRUE
"Candle",1,Misc,Mundane,,0.1,1 cc,TRUE,TRUE,TRUE,TRUE
"Case, Crossbow Bolts (capacity: 20)",1,Misc,Mundane,,1,1 bc,TRUE,TRUE,TRUE,TRUE
"Case, Map or Scroll",1,Misc,Mundane,,1,1 bc,FALSE,TRUE,TRUE,TRUE
"Chain (10 feet)",1,Misc,Mundane,,10,3 bc,TRUE,TRUE,TRUE,TRUE
"Chest (12 ft^3)",1,300 lb container,Mundane,,25,5 bc,FALSE,FALSE,TRUE,TRUE
"Climber's Kit",1,Misc,Mundane,,12,25 bc,FALSE,FALSE,TRUE,TRUE
"Clothes, Traveler's",1,Misc,Mundane,,4,2 bc,TRUE,TRUE,TRUE,TRUE
"Crowbar",1,Small Hafted Blunt,Mundane,12/12,5,2 bc,TRUE,TRUE,TRUE,TRUE
"Flask or Tankard",1,Misc,Mundane,,1,2 cc,TRUE,TRUE,TRUE,TRUE
"Grappling Hook",1,Misc,Mundane,,4,2 bc,FALSE,FALSE,TRUE,TRUE
"Hammer",1,Small Hafted Blunt,Mundane,12/12,3,1 bc,TRUE,TRUE,TRUE,TRUE
"Healer's Kit",1,Misc,Mundane,,3,5 bc,FALSE,FALSE,FALSE,TRUE
"Hourglass",1,Misc,Mundane,,1,25 bc,FALSE,FALSE,FALSE,TRUE
"Hunting Trap",1,Misc,Mundane,,25,5 bc,FALSE,TRUE,TRUE,TRUE
"Ink (1 ounce bottle)",1,Misc,Mundane,,0.1,10 bc,TRUE,TRUE,TRUE,TRUE
"Ink Pen (Fountain)",1,Misc,Mundane,,0.05,3 bc,FALSE,FALSE,TRUE,TRUE
"Jug or PitcherJug or Pitcher",1,Misc,Mundane,,4,2 cc,TRUE,TRUE,TRUE,TRUE
"Ladder (10-foot)",1,Misc,Mundane,,25,10 cc,FALSE,TRUE,TRUE,TRUE
"Lantern, Hooded",1,Misc,Mundane,,2,5 bc,FALSE,FALSE,TRUE,TRUE
"Lock",1,Misc,Mundane,,1,10 bc,FALSE,FALSE,TRUE,TRUE
"Mess Kit",1,Misc,Mundane,,1,20 cc,FALSE,TRUE,TRUE,TRUE
"Mirror, Steel",1,Misc,Mundane,,0.5,5 bc,FALSE,TRUE,TRUE,TRUE
"Paper (one sheet)",1,Misc,Mundane,,0,20 cc,FALSE,FALSE,TRUE,TRUE
"Parchment (one sheet)",1,Misc,Mundane,,0,10 cc,FALSE,TRUE,TRUE,TRUE
"Pick, Miner's",1,Large Hafted Point,Mundane,12/12,10,2 bc,FALSE,TRUE,TRUE,TRUE
"Piton",1,Misc,Mundane,,0.25,3 cc,FALSE,TRUE,TRUE,TRUE
"Pole (10-foot)",1,Misc,Mundane,,7,5 cc,FALSE,TRUE,TRUE,TRUE
"Pot, Iron",1,Misc,Mundane,,10,1 bc,TRUE,TRUE,TRUE,TRUE
"Pouch (1/5 ft^3)",1,6 lb container,Mundane,,1,50 cc,TRUE,TRUE,TRUE,TRUE
"Quiver (capacity: 20)",1,Misc,Mundane,,1,1 bc,TRUE,TRUE,TRUE,TRUE
"Rations (1 day)",1,Misc,Mundane,,2,50 cc,FALSE,FALSE,TRUE,TRUE
"Rope, Hempen (50 feet)",1,Misc,Mundane,,10,1 bc,FALSE,TRUE,TRUE,TRUE
"Rope, Silk (50 feet)",1,Misc,Mundane,,5,10 bc,FALSE,FALSE,FALSE,TRUE
"Sack",1,Misc,Mundane,,0.5,1 cc,TRUE,TRUE,TRUE,TRUE
"Shovel",1,Medium Hafted Blunt,Shoddy,9/9,5,2 bc,FALSE,TRUE,TRUE,TRUE
"Signal Whistle",1,Misc,Mundane,,0.1,5 bc,FALSE,FALSE,FALSE,TRUE
"Signet Ring",1,Misc,Mundane,,0.2,5 bc,FALSE,FALSE,FALSE,TRUE
"Spy Glass",1,Misc,Mundane,,0,1000 bc,FALSE,FALSE,TRUE,TRUE
"Tent, Two-person",1,Misc,Mundane,,20,2 bc,TRUE,TRUE,TRUE,TRUE
"Tinderbox",1,Misc,Mundane,,1,50 cc,TRUE,TRUE,TRUE,TRUE
"Torch",1,Torch,Shoddy,9/9,1,1 cc,TRUE,TRUE,TRUE,TRUE
"Vial",1,Misc,Mundane,,0.1,1 bc,TRUE,TRUE,TRUE,TRUE
"Waterskin (0/4)",1,Misc,Mundane,,1,20 cc,TRUE,TRUE,TRUE,TRUE
"Waterskin (4/4)",1,Misc,Mundane,,5,20 cc,TRUE,TRUE,TRUE,TRUE
"Cartographer's Tools",1,Misc,Mundane,,6,15 bc,FALSE,FALSE,TRUE,TRUE
"Jeweler's Tools",1,Misc,Mundane,,2,25 bc,FALSE,FALSE,FALSE,TRUE
"Tinker's Tools",1,Misc,Mundane,,10,38 bc,FALSE,FALSE,TRUE,TRUE
"Herbalism Kit",1,Misc,Mundane,,3,5 bc,FALSE,FALSE,TRUE,TRUE
"Navigator's Kit",1,Misc,Mundane,,2,25 bc,TRUE,TRUE,TRUE,TRUE
,,,,,,,,,,
"Shady Dealer - General Store Add-on",,,,,,,,,,
"Name",#,Type,Tier,Durability,Weight,Value,Limited Stock,Rural Locale,Urban Locale,Premium Locale
"Acid (vial)",1,Misc,Mundane,,0.5,25 bc,FALSE,TRUE,TRUE,TRUE
"Antitoxin (vial)",1,Misc,Mundane,,0.5,50 bc,TRUE,TRUE,TRUE,TRUE
"Bag of Caltrops",20,Misc,Mundane,,2,1 bc,FALSE,FALSE,TRUE,TRUE
"Clothes, Costume",1,Misc,Mundane,,4,5 bc,FALSE,FALSE,FALSE,TRUE
"Manacles",1,Misc,Mundane,,6,2 bc,FALSE,FALSE,FALSE,TRUE
"Oil (flask)",1,Misc,Mundane,,1,10 cc,TRUE,TRUE,TRUE,TRUE
"Poison, Basic (vial)",1,Misc,Mundane,,0.5,100 bc,TRUE,TRUE,TRUE,TRUE
"Ram, Portable",1,Misc,Mundane,,35,4 bc,FALSE,FALSE,FALSE,TRUE
"Spikes, Iron",1,Misc,Mundane,,5,70 cc,FALSE,FALSE,TRUE,TRUE
"Disguise Kit",1,Misc,Mundane,,3,25 bc,FALSE,TRUE,TRUE,TRUE
"Forgery Kit",1,Misc,Mundane,,5,15 bc,TRUE,TRUE,TRUE,TRUE
"Dice Set",1,Misc,Mundane,,0.2,10 cc,TRUE,TRUE,TRUE,TRUE
"Playing Card Set",1,Misc,Mundane,,0.2,50 cc,FALSE,TRUE,TRUE,TRUE
"Poisoner's Kit",1,Misc,Mundane,,2,50 bc,TRUE,TRUE,TRUE,TRUE
"Thieves' Tools",1,Misc,Mundane,,1,25 bc,TRUE,TRUE,TRUE,TRUE
,,,,,,,,,,
"Magical Theme - General Store Add-on",,,,,,,,,,
"Name",#,Type,Tier,Durability,Weight,Value,Limited Stock,Rural Locale,Urban Locale,Premium Locale
"Conduit - Crystal",1,Misc,Mundane,,1,10 bc,FALSE,FALSE,TRUE,TRUE
"Conduit - Orb",1,Misc,Mundane,,3,20 bc,FALSE,FALSE,FALSE,TRUE
"Conduit - Rod",1,Misc,Mundane,,2,10 bc,FALSE,TRUE,TRUE,TRUE
"Conduit - Staff",1,Misc,Mundane,,4,5 bc,TRUE,TRUE,TRUE,TRUE
"Conduit - Wand",1,Misc,Mundane,,1,10 bc,TRUE,TRUE,TRUE,TRUE
"Component Pouch (2/5 ft^3)",1,12 lb container,Mundane,,2,25 bc,TRUE,TRUE,TRUE,TRUE
"Spellbook",1,Misc,Mundane,,3,50 bc,FALSE,TRUE,TRUE,TRUE
"Vial of Gradual Healing Blood",1,Misc,Mundane,,0.25,40 bc,TRUE,TRUE,TRUE,TRUE
"Vial of Minor Healing Blood",1,Misc,Mundane,,0.25,50 bc,TRUE,TRUE,TRUE,TRUE
"Vial of Medium Healing Blood",1,Misc,Mundane,,0.25,100 bc,FALSE,TRUE,TRUE,TRUE
"Vial of Serious Healing Blood",1,Misc,Mundane,,0.25,500 bc,FALSE,TRUE,TRUE,TRUE
"Vial of Fatal Healing Blood",1,Misc,Mundane,,0.25,1350 bc,FALSE,FALSE,TRUE,TRUE
"Vial of Revival Healing Blood",1,Misc,Mundane,,0.25,500 bc,FALSE,FALSE,FALSE,TRUE
,,,,,,,,,,
"Water-side Theme - General Store Add-on",,,,,,,,,,
"Name",#,Type,Tier,Durability,Weight,Value,Limited Stock,Rural Locale,Urban Locale,Premium Locale
"Short Spear",1,"Short Spear, Thrown Short Spear",Mundane,12/12,3,1 bc,TRUE,TRUE,TRUE,TRUE
"Trident",1,"Short Spear, Thrown Short Spear",Mundane,12/12,3,5 bc,TRUE,TRUE,TRUE,TRUE
"Net",1,Medium Sword,Mundane,12/12,3,1 bc,TRUE,TRUE,TRUE,TRUE
"Fishing Tackle",1,Misc,Mundane,,4,1 bc,TRUE,TRUE,TRUE,TRUE
"Rowboat",,,,,50 bc,,FALSE,TRUE,TRUE,TRUE
"1lb of Fishing Bait",1,Misc,Mundane,,1,5 cc,FALSE,TRUE,TRUE,TRUE
,,,,,,,,,,
"Art and Games Theme - General Store Add-on",,,,,,,,,,
"Name",#,Type,Tier,Durability,Weight,Value,Limited Stock,Rural Locale,Urban Locale,Premium Locale
"Calligrapher's Supplies",1,Misc,Mundane,,5,10 bc,FALSE,FALSE,TRUE,TRUE
"Glassblower's Tools",1,Misc,Mundane,,7,30 bc,FALSE,FALSE,FALSE,TRUE
"Painter's Supplies",1,Misc,Mundane,,3,10 bc,TRUE,TRUE,TRUE,TRUE
"Potter's Tools",1,Misc,Mundane,,3,10 bc,FALSE,FALSE,TRUE,TRUE
"Weaver's Tools",1,Misc,Mundane,,5,1 bc,FALSE,TRUE,TRUE,TRUE
"Woodcarver's Tools",1,Misc,Mundane,,5,1 bc,FALSE,TRUE,TRUE,TRUE
"Disguise Kit",1,Misc,Mundane,,3,25 bc,FALSE,FALSE,FALSE,TRUE
"Dice Set",1,Misc,Mundane,,0.2,10 cc,TRUE,TRUE,TRUE,TRUE
"Dragonchess Set",1,Misc,Mundane,,0.5,1 bc,FALSE,FALSE,FALSE,TRUE
"Playing Card Set",1,Misc,Mundane,,0.2,50 cc,FALSE,TRUE,TRUE,TRUE
"Three-Dragon Ante Set",1,Misc,Mundane,,0.2,50 cc,FALSE,FALSE,TRUE,TRUE
"Bagpipes",1,Misc,Mundane,,6,30 bc,FALSE,FALSE,FALSE,TRUE
"Drum",1,Misc,Mundane,,3,6 bc,FALSE,TRUE,TRUE,TRUE
"Dulcimer",1,Misc,Mundane,,10,1 bc,FALSE,FALSE,TRUE,TRUE
"Flute",1,Misc,Mundane,,2,2 bc,TRUE,TRUE,TRUE,TRUE
"Lute",1,Misc,Mundane,,2,35 bc,FALSE,TRUE,TRUE,TRUE
"Lyre",1,Misc,Mundane,,2,30 bc,TRUE,TRUE,TRUE,TRUE
"Horn",1,Misc,Mundane,,2,3 bc,FALSE,FALSE,TRUE,FALSE
"Pan Flute",1,Misc,Mundane,,2,9 bc,FALSE,TRUE,TRUE,TRUE
"Shawm",1,Misc,Mundane,,1,1 bc,FALSE,FALSE,TRUE,TRUE
"Viol",1,Misc,Mundane,,1,22 bc,FALSE,FALSE,FALSE,TRUE
,,,,,,,,,,
"Tailor/Textiles",,,,,,,,,,
"Name",#,Type,Tier,Durability,Weight,Value,Limited Stock,Rural Locale,Urban Locale,Premium Locale
"Basket",1,Misc,Mundane,,2,40 cc,TRUE,TRUE,TRUE,TRUE
"Cloak, Canvas",1,Misc,Mundane,,5,70 cc,FALSE,TRUE,TRUE,TRUE
"Cloak, Leather",1,Misc,Mundane,,5,2 bc,FALSE,TRUE,TRUE,TRUE
"Cloak, Leather, Lined",1,Misc,Mundane,,5,4 bc,FALSE,TRUE,TRUE,TRUE
"Clothes, Common",1,Misc,Mundane,,3,5 bc,TRUE,TRUE,TRUE,TRUE
"Clothes, Costume",1,Misc,Mundane,,4,5 bc,FALSE,FALSE,FALSE,TRUE
"Clothes, Fine",1,Misc,Mundane,,6,15 bc,FALSE,FALSE,TRUE,TRUE
"Clothes, Traveler's",1,Misc,Mundane,,4,2 bc,FALSE,TRUE,TRUE,TRUE
"Satchel (2/5 ft^3)",1,12 lb container,Mundane,,2,1 bc,FALSE,FALSE,FALSE,TRUE
"Pouch (1/5 ft^3)",1,6 lb container,Mundane,,1,50 cc,TRUE,TRUE,TRUE,TRUE
"Robes",1,Misc,Mundane,,4,1 bc,FALSE,TRUE,TRUE,TRUE
"Sack",1,Misc,Mundane,,0.5,1 cc,TRUE,TRUE,TRUE,TRUE
"Tent, Two-person",1,Misc,Mundane,,20,2 bc,FALSE,FALSE,TRUE,TRUE
"Bone Needle",5,Misc,Mundane,,0,3 cc,FALSE,TRUE,TRUE,TRUE
"Steel Needle",1,Misc,Mundane,,0,10 cc,FALSE,FALSE,TRUE,TRUE
"Cotton Thread (30 feet)",1,Misc,Mundane,,0.1,50 cc,FALSE,TRUE,TRUE,TRUE
"Leather Cord (15 feet)",1,Misc,Mundane,,0.2,1 bc,TRUE,TRUE,TRUE,TRUE
"Weaver's Tools",1,Misc,Mundane,,5,1 bc,TRUE,TRUE,TRUE,TRUE
,,,,,,,,,,
"Transportation",,,,,,,,,,
"Name",#,Type,Tier,Durability,Weight,Value,Limited Stock,Rural Locale,Urban Locale,Premium Locale
"Camel",,,,,50 bc,,TRUE,FALSE,TRUE,FALSE
"Donkey/ Mule",,,,,8 bc,,FALSE,TRUE,TRUE,TRUE
"Elephant",,,,,200 bc,,TRUE,FALSE,TRUE,TRUE
"Horse, draft",,,,,50 bc,,FALSE,TRUE,TRUE,TRUE
"Horse, riding",,,,,75 bc,,TRUE,FALSE,TRUE,TRUE
"Mastiff",,,,,25 bc,,FALSE,TRUE,TRUE,TRUE
"Pony",,,,,30 bc,,TRUE,TRUE,TRUE,TRUE
"Warhorse",,,,,400 bc,,TRUE,FALSE,FALSE,TRUE
"Barding",,,,,x4 humanoid,,FALSE,TRUE,TRUE,TRUE
"Bit & Bridle",1,Misc,Mundane,,1,2 bc,FALSE,TRUE,TRUE,TRUE
"Carriage",,,,,100 bc,,TRUE,FALSE,TRUE,TRUE
"Cart",,,,,15 bc,,TRUE,TRUE,TRUE,TRUE
"Chariot",,,,,250 bc,,TRUE,FALSE,TRUE,TRUE
"Feed (per day)",1,Misc,Mundane,,10,5 cc,TRUE,TRUE,TRUE,TRUE
"Saddle - Exotic",1,Misc,Mundane,,40,60 bc,TRUE,FALSE,FALSE,TRUE
"Saddle - Military",1,Misc,Mundane,,30,20 bc,TRUE,FALSE,TRUE,TRUE
"Saddle - Pack",1,Misc,Mundane,,15,5 bc,TRUE,FALSE,TRUE,TRUE
"Saddle - Riding",1,Misc,Mundane,,25,10 bc,TRUE,FALSE,TRUE,TRUE
"Saddlebags",1,Misc,Mundane,,8,4 bc,FALSE,FALSE,TRUE,TRUE
"Sled",,,,,20 bc,,TRUE,TRUE,TRUE,TRUE
"Stabling (per day)",,,,,50 cc,,FALSE,TRUE,TRUE,TRUE
"Wagon",,,,,35 bc,,FALSE,TRUE,TRUE,TRUE
"Galley",,,,,"30,000 bc",,TRUE,FALSE,TRUE,TRUE
"Keelboat",,,,,"3,000 bc",,TRUE,TRUE,TRUE,TRUE
"Longship",,,,,"10,000 bc",,TRUE,FALSE,TRUE,TRUE
"Rowboat",,,,,50 bc,,TRUE,TRUE,TRUE,TRUE
"Sailing Ship",,,,,"10,000 bc",,TRUE,FALSE,TRUE,TRUE
"Warship",,,,,"25,000 bc",,TRUE,FALSE,FALSE,TRUE
,,,,,,,,,,
"Jeweler/Stonecutter",,,,,,,,,,
"Name",#,Type,Tier,Durability,Weight,Value,Limited Stock,Rural Locale,Urban Locale,Premium Locale
"Amulet/Necklace, Exquisite",1,Misc,Mundane,,0.2,5 bc,TRUE,TRUE,TRUE,TRUE
"Amulet/Necklace, Mundane",1,Misc,Mundane,,0.2,50 cc,TRUE,TRUE,TRUE,TRUE
"Conduit - Crystal",1,Misc,Mundane,,1,10 bc,FALSE,FALSE,FALSE,TRUE
"Conduit - Orb",1,Misc,Mundane,,3,20 bc,FALSE,FALSE,TRUE,TRUE
"Earrings, Exquisite",1,Misc,Mundane,,0.1,4 bc,FALSE,FALSE,FALSE,TRUE
"Earrings, Mundane",1,Misc,Mundane,,0.1,40 cc,TRUE,TRUE,TRUE,TRUE
"Jewelry (+ Gem value)",1,Misc,Mundane,,0.2,50 bc,TRUE,TRUE,TRUE,TRUE
"Ring, Exquisite",1,Misc,Mundane,,0.2,3 bc,TRUE,TRUE,TRUE,TRUE
"Ring, Mundane",1,Misc,Mundane,,0.2,30 cc,TRUE,TRUE,TRUE,TRUE
"Signet Ring",1,Misc,Mundane,,0.2,5 bc,FALSE,TRUE,TRUE,TRUE
"-[Tools]-",,,,,,,,,,
"Jeweler's Tools",1,Misc,Mundane,,2,25 bc,FALSE,TRUE,TRUE,TRUE
"-[Services]-",,,,,,,,,,
"Gemstone Apprasisal (3 gems)",,,,,5 bc,,TRUE,TRUE,TRUE,TRUE
"Resizing Jewelry",,,,,10 bc,,FALSE,TRUE,TRUE,TRUE
"Set Gem (<100 bc value)",,,,,45 bc,,FALSE,TRUE,TRUE,FALSE
"Set Gem (100-1K bc value)",,,,,75 bc,,FALSE,FALSE,TRUE,TRUE
"Set Gem (1K+ bc value)",,,,,150 bc,,FALSE,FALSE,FALSE,TRUE
"Stone Cutting (+ value)",,,,,1/4 of value,,FALSE,FALSE,TRUE,TRUE
"-[10 bc Gemstones]-",,,,,,,,,,
"Azurite (Deep blue)",1,Misc,Mundane,,0.1,10 bc,TRUE,TRUE,TRUE,TRUE
"Banded agate (Brown / Blue)",1,Misc,Mundane,,0.1,10 bc,TRUE,TRUE,TRUE,TRUE
"Blue quartz (Pale blue)",1,Misc,Mundane,,0.1,10 bc,TRUE,TRUE,TRUE,TRUE
"Eye agate (Circles, gray / blue)",1,Misc,Mundane,,0.1,10 bc,TRUE,TRUE,TRUE,TRUE
"Hematite (Opaque gray-black)",1,Misc,Mundane,,0.1,10 bc,TRUE,TRUE,TRUE,TRUE
"Lapis lazuli (Blue with yellow)",1,Misc,Mundane,,0.1,10 bc,TRUE,TRUE,TRUE,TRUE
"Malachite (Striated greens)",1,Misc,Mundane,,0.1,10 bc,TRUE,TRUE,TRUE,FALSE
"Moss agate (Pale, moss marks)",1,Misc,Mundane,,0.1,10 bc,TRUE,TRUE,TRUE,TRUE
"Obsidian (Opaque black)",1,Misc,Mundane,,0.1,10 bc,TRUE,TRUE,TRUE,FALSE
"Rhodochrosite (Light pink)",1,Misc,Mundane,,0.1,10 bc,TRUE,TRUE,TRUE,TRUE
"Tiger eye (Brown, gold center)",1,Misc,Mundane,,0.1,10 bc,TRUE,TRUE,TRUE,TRUE
"Turquoise (Light blue-green)",1,Misc,Mundane,,0.1,10 bc,TRUE,TRUE,TRUE,FALSE
"-[50 bc Gemstones]-",,,,,,,,,,
"Bloodstone (Gray with red)",1,Misc,Mundane,,0.1,50 bc,TRUE,TRUE,TRUE,FALSE
"Carnelian (Opaque oranges)",1,Misc,Mundane,,0.1,50 bc,TRUE,TRUE,TRUE,TRUE
"Chalcedony (Opaque white)",1,Misc,Mundane,,0.1,50 bc,TRUE,TRUE,TRUE,TRUE
"Chrysoprase (Clear green)",1,Misc,Mundane,,0.1,50 bc,TRUE,TRUE,TRUE,TRUE
"Citrine (Pale yellow-brown)",1,Misc,Mundane,,0.1,50 bc,TRUE,TRUE,TRUE,FALSE
"Jasper (Blue, black, or brown)",1,Misc,Mundane,,0.1,50 bc,TRUE,TRUE,TRUE,FALSE
"Moonstone (White + glow)",1,Misc,Mundane,,0.1,50 bc,TRUE,FALSE,TRUE,TRUE
"Onyx (Black, white, or both)",1,Misc,Mundane,,0.1,50 bc,TRUE,TRUE,TRUE,TRUE
"Quartz (Transparent range)",1,Misc,Mundane,,0.1,50 bc,TRUE,TRUE,TRUE,FALSE
"Sardonyx (Red & white)",1,Misc,Mundane,,0.1,50 bc,TRUE,TRUE,TRUE,TRUE
"Star rose quartz (White star)",1,Misc,Mundane,,0.1,50 bc,TRUE,TRUE,TRUE,TRUE
"Zircon (Pale blue-green)",1,Misc,Mundane,,0.1,50 bc,TRUE,TRUE,TRUE,TRUE
"-[100 bc Gemstones]-",,,,,,,,,,
"Amber (Watery gold)",1,Misc,Mundane,,0.1,100 bc,TRUE,FALSE,TRUE,TRUE
"Amethyst (Deep purple)",1,Misc,Mundane,,0.1,100 bc,TRUE,FALSE,FALSE,TRUE
"Chrysoberyl (Yellow-green)",1,Misc,Mundane,,0.1,100 bc,TRUE,FALSE,TRUE,TRUE
"Coral (Opaque crimson)",1,Misc,Mundane,,0.1,100 bc,TRUE,FALSE,FALSE,TRUE
"Garnet (Red, or violet)",1,Misc,Mundane,,0.1,100 bc,TRUE,FALSE,TRUE,TRUE
"Jet (Opaque deep black)",1,Misc,Mundane,,0.1,100 bc,TRUE,FALSE,TRUE,TRUE
"Jade (Green to white)",1,Misc,Mundane,,0.1,100 bc,TRUE,FALSE,TRUE,TRUE
"Pearl (Lustrous white to pink)",1,Misc,Mundane,,0.1,100 bc,TRUE,TRUE,TRUE,TRUE
"Spinel (Clear red to green)",1,Misc,Mundane,,0.1,100 bc,TRUE,FALSE,TRUE,TRUE
"Tourmaline (Pale Red / Brown)",1,Misc,Mundane,,0.1,100 bc,TRUE,FALSE,TRUE,TRUE
"-[500 bc Gemstones]-",,,,,,,,,,
"Alexandrite (Dark green)",1,Misc,Mundane,,0.1,,TRUE,FALSE,TRUE,TRUE
"Aquamarine (Pale green-blue)",1,Misc,Mundane,,0.1,,TRUE,FALSE,TRUE,TRUE
"Black pearl (Pure black)",1,Misc,Mundane,,0.1,,TRUE,FALSE,FALSE,TRUE
"Bluespinel (Deep blue)",1,Misc,Mundane,,0.1,,TRUE,FALSE,TRUE,TRUE
"Peridot (Rich olive green)",1,Misc,Mundane,,0.1,,TRUE,FALSE,TRUE,TRUE
"Topaz (Golden yellow)",1,Misc,Mundane,,0.1,,TRUE,FALSE,FALSE,TRUE
"-[1000 bc Gemstones]-",,,,,,,,,,
"Black Opal (Translucent green)",1,Misc,Mundane,,0.1,1000 bc,TRUE,FALSE,FALSE,TRUE
"Blue sapphire (Shades of blue)",1,Misc,Mundane,,0.1,1000 bc,TRUE,FALSE,FALSE,TRUE
"Emerald (Deep bright green)",1,Misc,Mundane,,0.1,1000 bc,TRUE,FALSE,TRUE,TRUE
"Fire opal (Fiery red)",1,Misc,Mundane,,0.1,1000 bc,TRUE,FALSE,FALSE,TRUE
"Opal (Pale blue with green)",1,Misc,Mundane,,0.1,1000 bc,TRUE,FALSE,TRUE,TRUE
"Star ruby (Ruby with star)",1,Misc,Mundane,,0.1,1000 bc,TRUE,FALSE,FALSE,TRUE
"Star sapphire (Blue with star)",1,Misc,Mundane,,0.1,1000 bc,TRUE,FALSE,FALSE,TRUE
"Yellow Sapphire (Fiery yellow)",1,Misc,Mundane,,0.1,1000 bc,TRUE,FALSE,FALSE,TRUE
"-[5000 bc Gemstones]-",,,,,,,,,,
"Black Sapphire (Lustrous black)",1,Misc,Mundane,,0.1,5000 bc,TRUE,FALSE,FALSE,TRUE
"Diamond (Transparent)",1,Misc,Mundane,,0.1,5000 bc,TRUE,FALSE,FALSE,TRUE
"Jacinth (Fiery orange)",1,Misc,Mundane,,0.1,5000 bc,TRUE,FALSE,FALSE,TRUE
"Ruby (Shades of red)",1,Misc,Mundane,,0.1,5000 bc,TRUE,FALSE,FALSE,TRUE
"-[Powdering of Gems]-",,,,,,,,,,
"10 bc Gemstones",1,Misc,Mundane,,0.1,10 bc,TRUE,TRUE,TRUE,TRUE
"50 bc Gemstones",1,Misc,Mundane,,0.1,50 bc,TRUE,TRUE,TRUE,TRUE
"100 bc Gemstones",1,Misc,Mundane,,0.1,100 bc,FALSE,FALSE,TRUE,TRUE
"500 bc Gemstones",1,Misc,Mundane,,0.1,500 bc,FALSE,FALSE,TRUE,TRUE
"1000 bc Gemstones",1,Misc,Mundane,,0.1,1000 bc,FALSE,FALSE,FALSE,TRUE
"5000 bc Gemstones",1,Misc,Mundane,,0.1,5000 bc,FALSE,FALSE,FALSE,TRUE
,,,,,,,,,,
"Potion Shop",,,,,,,,,,
"Name",#,Type,Tier,Durability,Weight,Value,Limited Stock,Rural Locale,Urban Locale,Premium Locale
"Acid (vial)",1,Misc,Mundane,,0.5,25 bc,FALSE,TRUE,TRUE,TRUE
"Alchemist's Fire (flask)",1,Misc,Mundane,,1,50 bc,FALSE,FALSE,TRUE,TRUE
"Antitoxin (vial)",1,Misc,Mundane,,0.5,50 bc,TRUE,TRUE,TRUE,TRUE
"Component Pouch (2/5 ft^3)",1,12 lb container,Mundane,,2,25 bc,FALSE,TRUE,TRUE,TRUE
"Oil (flask)",1,Misc,Mundane,,1,10 cc,FALSE,TRUE,TRUE,TRUE
"Perfume (vial)",1,Misc,Mundane,,0.1,5 bc,FALSE,FALSE,FALSE,TRUE
"Poison, Basic (vial)",1,Misc,Mundane,,0.5,100 bc,TRUE,TRUE,TRUE,TRUE
"Vial of Gradual Healing Blood",1,Misc,Mundane,,0.25,40 bc,TRUE,TRUE,TRUE,TRUE
"Vial of Minor Healing Blood",1,Misc,Mundane,,0.25,50 bc,TRUE,TRUE,TRUE,TRUE
"Vial of Medium Healing Blood",1,Misc,Mundane,,0.25,100 bc,FALSE,TRUE,TRUE,TRUE
"Vial of Serious Healing Blood",1,Misc,Mundane,,0.25,500 bc,FALSE,TRUE,TRUE,TRUE
"Vial of Fatal Healing Blood",1,Misc,Mundane,,0.25,1350 bc,FALSE,FALSE,TRUE,TRUE
"Vial of Revival Healing Blood",1,Misc,Mundane,,0.25,500 bc,FALSE,FALSE,FALSE,TRUE
"Vial",1,Misc,Mundane,,0.1,1 bc,TRUE,TRUE,TRUE,TRUE
"Alchemy Ingredient - Uncommon",1,Misc,Mundane,,0.5,1 bc,TRUE,TRUE,TRUE,TRUE
"Alchemy Ingredient - Rare",1,Misc,Mundane,,0.5,10 bc,TRUE,FALSE,TRUE,TRUE
"Alchemy Ingredient - Very Rare",1,Misc,Mundane,,0.5,30 bc,TRUE,FALSE,FALSE,TRUE
"Alchemist's Supplies",1,Misc,Mundane,,8,50 bc,FALSE,FALSE,TRUE,TRUE
"Brewer's Supplies",1,Misc,Mundane,,9,20 bc,TRUE,TRUE,TRUE,TRUE
"Cook's Utensils",1,Misc,Mundane,,8,1 bc,FALSE,FALSE,TRUE,TRUE
"Poisoner's Kit",1,Misc,Mundane,,2,50 bc,FALSE,TRUE,TRUE,TRUE
"Potion - Common",1,Misc,Mundane,,0.25,50 bc,TRUE,TRUE,TRUE,TRUE
"Potion - Uncommon",1,Misc,Mundane,,0.25,250 bc,TRUE,TRUE,TRUE,TRUE
"Potion - Rare",1,Misc,Mundane,,0.25,2500 bc,FALSE,FALSE,TRUE,TRUE
"Potion - Very Rare",1,Misc,Mundane,,0.25,12500 bc,FALSE,FALSE,TRUE,TRUE
"Potion - Legendary",1,Misc,Mundane,,0.25,62500 bc,FALSE,FALSE,FALSE,TRUE
